date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:43:00	129380/129380	---M--	200	added ('OK')	image/jpeg	etag:%22f4d339c1c0406eee8278b3ebe621921a%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/property-7.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/property-7.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
23:43:07	130508/130508	---M--	200	added ('OK')	image/jpeg	etag:%22029d46ded62d497dc206fb8f6052ce79%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/property-4.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/property-4.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
23:43:23	100450/100450	---M--	200	added ('OK')	image/jpeg	etag:%221777fafd92edaf530100d947d88cb4d7%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/blog/blog.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/blog/blog.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
23:43:25	212145/212145	---M--	200	added ('OK')	image/jpeg	etag:%2274ef46e2617567b020a3a2da44be7c33%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/property-5.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/property-5.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
23:43:27	4645/4645	---M--	200	added ('OK')	image/png	etag:%220dc6e0efbaf37450c411bf56b9dc85a2%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/brands/brand-1.png	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/brands/brand-1.png	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
23:43:29	3143/3143	---M--	200	added ('OK')	image/png	etag:%2241efb12beebbf0fc69024c4a8808ded8%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/brands/brand-2.png	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/brands/brand-2.png	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
23:43:31	4486/4486	---M--	200	added ('OK')	image/png	etag:%2262640dd0b2af87716a77fba4f7f01811%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/brands/brand-3.png	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/brands/brand-3.png	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
23:43:33	3685/3685	---M--	200	added ('OK')	image/png	etag:%222cc9e25d7704128a8e4d12e684c48789%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/brands/brand-4.png	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/brands/brand-4.png	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
23:43:35	2697/2697	---M--	200	added ('OK')	image/png	etag:%224f503d6b767480ffd12f034d3a76fd43%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/brands/brand-5.png	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/brands/brand-5.png	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
23:43:40	63684/63684	---M--	200	added ('OK')	image/jpeg	etag:%2279f06d436cb1002d8d6ec6d757a95f39%22	http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/blog/blog-3.jpg	/home/dhruval/websites/sample4/themevessel-item.s3-website-us-east-1.amazonaws.com/xero/assets/img/blog/blog-3.jpg	(from http://themevessel-item.s3-website-us-east-1.amazonaws.com/xero/index-2.html)
